FID,grid_code,Slope_1,Hibriten_D,NLCD_2011_
1405,1653.7299805,55.8069992,1512.0699463,43
1406,1648.7099609,59.6445999,1512.8199463,43
1407,1644.6899414,60.7640991,1510.9200439,43
1408,1636.8900146,59.6842003,1513.3399658,43
1409,1638.3199463,54.8457985,1515.2500000,43
1410,1653.2399902,52.1062012,1515.9799805,43
1411,1658.4699707,48.6777000,1517.3699951,43
1412,1664.3699951,45.8042984,1519.3499756,43
1413,1660.4899902,46.3312988,1521.0799561,43
1414,1671.8599854,49.7839012,1522.9300537,43
1415,1658.3399658,51.2731018,1524.1099854,43
1416,1657.6199951,49.4608002,1526.6199951,43
1417,1666.8800049,48.2551994,1528.9100342,43
1418,1669.4799805,46.6543999,1530.8299561,43
1419,1664.9399414,48.2775993,1532.4699707,43
1420,1662.7700195,49.3176003,1533.8900146,43
1421,1674.3299561,49.1254005,1535.1500244,43
1422,1685.6300049,49.3824997,1536.3800049,43
1423,1685.0899658,50.5112000,1536.9899902,43
1424,1682.4599609,52.9477005,1538.4200439,43
1425,1684.0000000,53.7597008,1540.7099609,43
1426,1687.2099609,52.6749992,1543.0899658,43
1427,1687.8199463,49.2788010,1544.9399414,43
1428,1702.8499756,47.5000992,1545.2500000,43
1429,1703.5400391,48.3270988,1547.5699463,43
1430,1647.0799561,54.0794983,1500.5200195,43
1431,1654.9399414,54.7439003,1498.9100342,43
1432,1645.9899902,54.9342003,1495.5899658,43
1433,1654.9200439,55.6551018,1492.3100586,43
1434,1662.6999512,57.2126007,1488.6800537,43
1435,1660.2500000,58.3377991,1484.7099609,43
1436,1628.5400391,59.9042015,1480.4200439,43
1437,1627.8100586,61.1101990,1475.9300537,43
1438,1600.8800049,62.0668983,1471.2800293,43
1439,1594.0000000,62.0414009,1468.9200439,43
1440,1596.5400391,56.4732018,1464.5100098,43
1441,1595.4300537,49.6721992,1461.5999756,43
1442,1600.6300049,33.6049995,1461.0600586,43
1443,1601.8399658,41.4417000,1462.7700195,43
1444,1599.7099609,53.1627007,1466.5400391,43
1445,1600.3199463,54.2224998,1471.0899658,43
1446,1610.7700195,52.0539017,1475.2199707,43
1447,1623.3800049,50.5273018,1479.0300293,43
1448,1632.9200439,49.1341019,1480.6199951,43
1449,1639.8000488,48.4943008,1484.3699951,43
1450,1640.5200195,48.2266006,1488.0200195,43
1451,1619.5999756,47.7685013,1491.5500488,43
1452,1619.7299805,47.5956993,1495.0999756,43
1453,1640.0200195,45.6076012,1498.4200439,43
1454,1651.9300537,44.3727989,1501.4200439,43
1455,1643.7600098,43.8930016,1504.1500244,43
1456,1640.4100342,40.1748009,1505.2700195,43
1457,1662.7099609,41.5671005,1506.8000488,43
1458,1662.3800049,42.4254990,1508.1899414,43
1459,1661.8499756,45.1594009,1509.2900391,43
1460,1649.4100342,45.7495995,1510.3199463,43
1461,1647.8699951,43.5046005,1511.1099854,43
1462,1670.3199463,42.1463013,1511.6999512,43
1463,1666.9399414,42.6834984,1512.5699463,43
1464,1659.2199707,43.9202003,1513.0500488,43
1465,1647.7099609,47.2249985,1513.7900391,43
1466,1649.3000488,49.0726013,1514.4300537,43
1467,1657.3599854,50.9105988,1515.1899414,43
1468,1653.5500488,51.6133995,1515.6700439,43
1469,1648.7600098,52.2350006,1513.9300537,43
1470,1649.3399658,54.2879982,1514.4300537,43
1471,1643.8399658,56.8881989,1515.5200195,43
1472,1640.0799561,55.8384018,1516.4200439,43
1473,1647.7700195,51.1323013,1518.3800049,43
1474,1657.5000000,52.0106010,1519.5500488,43
1475,1660.8699951,50.7710991,1520.0799561,43
1476,1671.4000244,50.4622993,1520.9599609,43
1477,1671.9699707,49.3941002,1522.4100342,43
1478,1674.8399658,50.0603981,1524.1999512,43
1479,1659.8599854,51.7770996,1526.3000488,43
1480,1663.2399902,52.0588989,1528.6600342,43
1481,1660.7800293,50.9860992,1529.8100586,43
1482,1662.3399658,50.4735985,1532.0500488,43
1483,1668.5600586,50.1041985,1534.0400391,43
1484,1663.1899414,50.1876984,1535.9300537,43
1485,1663.7500000,49.2715988,1537.4000244,43
1486,1666.6300049,49.0079002,1538.6800537,43
1487,1688.7900391,49.2756004,1539.9100342,43
1488,1686.1199951,49.4347000,1541.2299805,43
1489,1686.1700439,50.3409996,1542.0200195,43
1490,1681.6199951,47.4548988,1544.9300537,43
1491,1677.1700439,44.6473007,1546.5999756,43
1492,1690.8599854,45.8434982,1548.2500000,43
1493,1701.4799805,47.0418015,1550.3000488,43
1494,1653.1400146,54.3577995,1503.6899414,43
1495,1668.7500000,54.8875999,1500.5000000,43
1496,1654.1899414,55.1912994,1498.8800049,43
1497,1658.4899902,55.8154984,1495.6300049,43
1498,1666.0999756,57.2657013,1492.0600586,43
1499,1657.2900391,58.7355995,1488.1300049,43
1500,1644.1099854,59.5769005,1484.0600586,43
1501,1628.9599609,61.0868988,1479.6800537,43
1502,1612.4599609,61.5922012,1475.1400146,43
